"taxnum","date","charge_count","allegation_count"
"973200",NA,NA,NA
"966924",NA,NA,NA
"934368",NA,NA,NA
"960129",NA,NA,NA
"929589",NA,NA,NA
"969453",NA,NA,NA
"923946",NA,NA,NA
"933593","5/11/2016","2",NA
"955706",NA,NA,NA
"958214",NA,NA,NA
"968916",NA,NA,NA
"961485",NA,NA,NA
"936668","8/20/2010","2",NA
"939842","8/20/2010","10",NA
"939842","5/22/2015","8",NA
"941315",NA,NA,NA
"948590",NA,NA,NA
"959437",NA,NA,NA
"965919",NA,NA,NA
"963356",NA,NA,NA
"964862",NA,NA,NA
"941328",NA,NA,NA
"959438",NA,NA,NA
"956370",NA,NA,NA
"966925",NA,NA,NA
"967406",NA,NA,NA
"898880",NA,NA,NA
"929591",NA,NA,NA
"959439",NA,NA,NA
"921895",NA,NA,NA
"932238",NA,NA,NA
"919974",NA,NA,NA
"937942",NA,NA,NA
"937943",NA,NA,NA
"969454",NA,NA,NA
"964359",NA,NA,NA
"937946",NA,NA,NA
"964863",NA,NA,NA
"949966",NA,NA,NA
"959440",NA,NA,NA
"942927",NA,NA,NA
"926476",NA,NA,NA
"953617",NA,NA,NA
"929496",NA,NA,NA
"905654",NA,NA,NA
"945457",NA,NA,NA
"926477",NA,NA,NA
"945458",NA,NA,NA
"931514",NA,NA,NA
"936966",NA,NA,NA
"924841",NA,NA,NA
"971784",NA,NA,NA
"962930",NA,NA,NA
"946662",NA,NA,NA
"961486",NA,NA,NA
"919976",NA,NA,NA
"948591",NA,NA,NA
"958215",NA,NA,NA
"958216",NA,NA,NA
"960130",NA,NA,NA
"946436",NA,NA,NA
"934370",NA,NA,NA
"965920","4/9/2022",NA,"1"
"968918",NA,NA,NA
"959441",NA,NA,NA
"943995",NA,NA,NA
"931452",NA,NA,NA
"958218",NA,NA,NA
"961594",NA,NA,NA
"936098",NA,NA,NA
"929653","12/23/2015","4",NA
"954463",NA,NA,NA
"962199",NA,NA,NA
"966418",NA,NA,NA
"949968",NA,NA,NA
"962200",NA,NA,NA
"949969","5/4/2017","1",NA
"952384",NA,NA,NA
"952385",NA,NA,NA
"970369",NA,NA,NA
"969455",NA,NA,NA
"961595",NA,NA,NA
"953619",NA,NA,NA
"941316",NA,NA,NA
"947703",NA,NA,NA
"941317",NA,NA,NA
"955072","4/6/2016","1",NA
"969456",NA,NA,NA
"933594",NA,NA,NA
"948592",NA,NA,NA
"957315",NA,NA,NA
"949971",NA,NA,NA
"934818",NA,NA,NA
"889483",NA,NA,NA
"958220",NA,NA,NA
"952386",NA,NA,NA
"970965",NA,NA,NA
"969457",NA,NA,NA
"968919",NA,NA,NA
"947964",NA,NA,NA
"941318",NA,NA,NA
"954464",NA,NA,NA
"944306",NA,NA,NA
"961596","1/19/2021","5",NA
"944936",NA,NA,NA
"934371",NA,NA,NA
"937949",NA,NA,NA
"961597",NA,NA,NA
"937950",NA,NA,NA
"966926",NA,NA,NA
"954465",NA,NA,NA
"971786",NA,NA,NA
"962912",NA,NA,NA
"941319","8/10/2015","2",NA
"942930",NA,NA,NA
"951481",NA,NA,NA
"934372",NA,NA,NA
"967740",NA,NA,NA
"949972",NA,NA,NA
"971302",NA,NA,NA
"963837",NA,NA,NA
"934373","2/21/2017","6",NA
"965646",NA,NA,NA
"934374",NA,NA,NA
"945459",NA,NA,NA
"955129",NA,NA,NA
"926532",NA,NA,NA
"969458",NA,NA,NA
"972498",NA,NA,NA
"962913",NA,NA,NA
"961598",NA,NA,NA
"965647","5/9/2022",NA,"2"
"970966",NA,NA,NA
"967407",NA,NA,NA
"969459",NA,NA,NA
"951482",NA,NA,NA
"941320",NA,NA,NA
"948593",NA,NA,NA
"968211",NA,NA,NA
"953620",NA,NA,NA
"961599",NA,NA,NA
"933595",NA,NA,NA
"957317",NA,NA,NA
"966419",NA,NA,NA
"954337",NA,NA,NA
"939845",NA,NA,NA
"957318",NA,NA,NA
"966927",NA,NA,NA
"971787",NA,NA,NA
"959444",NA,NA,NA
"956371",NA,NA,NA
"964361",NA,NA,NA
"970371",NA,NA,NA
"965921",NA,NA,NA
"967741",NA,NA,NA
"939846",NA,NA,NA
"915218",NA,NA,NA
"973201",NA,NA,NA
"941321",NA,NA,NA
"936104",NA,NA,NA
"963839",NA,NA,NA
"960131",NA,NA,NA
"964362",NA,NA,NA
"962202",NA,NA,NA
"942360",NA,NA,NA
"972499",NA,NA,NA
"939847",NA,NA,NA
"960132",NA,NA,NA
"963357",NA,NA,NA
"971303",NA,NA,NA
"960133",NA,NA,NA
"969460",NA,NA,NA
"958222",NA,NA,NA
"968920",NA,NA,NA
"967742",NA,NA,NA
"969461",NA,NA,NA
"970372",NA,NA,NA
"958223",NA,NA,NA
"973202",NA,NA,NA
"968213",NA,NA,NA
"971304",NA,NA,NA
"962914",NA,NA,NA
"972331",NA,NA,NA
"952389",NA,NA,NA
"966420",NA,NA,NA
