"taxnum","date","shield_num","title"
942925,"06/10/21",NA,"LIEUTENANT"
942925,"01/10/07",17265,"POLICE OFFICER"
942925,"10/25/13",426,"SERGEANT"
942925,"05/17/17",923,"SERGEANT"
965131,"01/10/18",26952,"POLICE OFFICER"
946717,"07/08/08",13071,"POLICE OFFICER"
946717,"11/24/20",1014,"SERGEANT"
971778,"07/07/21",21572,"POLICE OFFICER"
907684,"12/20/99",7390,"DETECTIVE"
907684,"10/28/94",5051,"POLICE OFFICER"
907684,"08/29/03",4441,"SERGEANT"
958212,"07/08/15",19595,"POLICE OFFICER"
941306,"03/02/15",4644,"DETECTIVE"
941306,"07/10/06",27379,"POLICE OFFICER"
879276,"09/27/02",NA,"CAPTAIN"
879276,"02/24/06",NA,"DEPUTY INSPECTOR"
879276,"12/23/11",NA,"INSPECTOR"
879276,"08/13/98",NA,"LIEUTENANT"
879276,"04/24/89",408,"SERGEANT"
949951,"07/06/11",15538,"POLICE OFFICER"
969445,"11/02/20",25674,"POLICE OFFICER"
941307,"07/10/06",891,"POLICE OFFICER"
921890,"08/31/98",10343,"POLICE OFFICER"
921890,"11/25/03",85,"SERGEANT"
941308,"07/10/06",26549,"POLICE OFFICER"
901526,"06/30/92",3336,"POLICE OFFICER"
901526,"02/25/11",3336,"SERGEANT"
921101,"08/01/16",3063,"DETECTIVE"
921101,"07/01/98",21655,"POLICE OFFICER"
954456,"07/09/13",31899,"POLICE OFFICER"
969446,"11/02/20",10010,"POLICE OFFICER"
964354,"10/18/17",4929,"POLICE OFFICER"
949953,"07/06/11",23589,"POLICE OFFICER"
941309,"09/28/18",NA,"LIEUTENANT"
941309,"07/10/06",8191,"POLICE OFFICER"
941309,"06/28/13",1030,"SERGEANT"
937934,"07/11/05",17353,"POLICE OFFICER"
966922,"01/03/19",26627,"POLICE OFFICER"
941494,"12/21/21",NA,"LIEUTENANT"
941494,"07/10/06",12190,"POLICE OFFICER"
941494,"06/26/15",5029,"SERGEANT"
933590,"02/28/14",6465,"DETECTIVE"
933590,"01/20/04",23409,"POLICE OFFICER"
938882,"07/11/05",15948,"POLICE OFFICER"
938882,"08/31/07",15945,"POLICE OFFICER"
959483,"10/07/15",21774,"POLICE OFFICER"
941310,"09/28/18",NA,"LIEUTENANT"
941310,"07/10/06",17247,"POLICE OFFICER"
941310,"03/27/15",5103,"SERGEANT"
947701,"07/08/08",25462,"POLICE OFFICER"
947702,"07/08/08",25859,"POLICE OFFICER"
947702,"12/19/19",5031,"SERGEANT"
965917,"07/02/18",9959,"POLICE OFFICER"
970961,"02/24/21",21901,"POLICE OFFICER"
969447,"11/02/20",10419,"POLICE OFFICER"
929583,"08/30/16",3397,"DETECTIVE"
929583,"07/01/02",21537,"POLICE OFFICER"
964856,"01/10/18",30598,"POLICE OFFICER"
958213,"07/08/15",18718,"POLICE OFFICER"
945450,"01/07/08",23272,"POLICE OFFICER"
927777,"07/02/01",118,"POLICE OFFICER"
963830,"07/05/17",20796,"POLICE OFFICER"
941311,"07/10/06",30912,"POLICE OFFICER"
954457,"07/09/13",1462,"POLICE OFFICER"
948584,"07/06/10",5530,"POLICE OFFICER"
956364,"07/09/14",11068,"POLICE OFFICER"
956365,"02/09/22",1009,"DETECTIVE"
956365,"07/09/14",13577,"POLICE OFFICER"
940184,"01/09/06",157,"POLICE OFFICER"
940184,"01/29/21",2721,"SERGEANT"
945451,"01/07/08",26711,"POLICE OFFICER"
945451,"09/30/16",614,"SERGEANT"
972493,"10/12/21",6311,"POLICE OFFICER"
973194,"12/29/21",30966,"POLICE OFFICER"
973195,"12/29/21",20004,"POLICE OFFICER"
964858,"01/10/18",28090,"POLICE OFFICER"
968911,"01/06/20",22106,"POLICE OFFICER"
968208,"10/07/19",6458,"POLICE OFFICER"
972494,"10/12/21",6693,"POLICE OFFICER"
970366,"12/29/20",1094,"POLICE OFFICER"
968912,"01/06/20",27625,"POLICE OFFICER"
962195,"10/11/16",20209,"POLICE OFFICER"
889471,"12/24/01",2820,"DETECTIVE"
889471,"01/01/90",8714,"POLICE OFFICER"
961591,"07/13/16",6428,"POLICE OFFICER"
965644,"04/25/18",21067,"POLICE OFFICER"
968210,"10/07/19",7368,"POLICE OFFICER"
963831,"07/05/17",26113,"POLICE OFFICER"
949954,"07/06/11",13014,"POLICE OFFICER"
967405,"04/15/19",23479,"POLICE OFFICER"
936093,"01/10/05",23479,"POLICE OFFICER"
936093,"06/29/12",2157,"SERGEANT"
949835,"01/27/17",5992,"DETECTIVE"
949835,"07/06/11",20113,"POLICE OFFICER"
949835,"10/07/19",2933,"SERGEANT"
934363,"05/27/22",4588,"DETECTIVE"
934363,"07/01/04",21504,"POLICE OFFICER"
961592,"02/09/22",1014,"DETECTIVE"
961592,"07/13/16",18377,"POLICE OFFICER"
963833,"07/05/17",25760,"POLICE OFFICER"
950400,"07/06/11",5404,"POLICE OFFICER"
936095,"01/10/05",31645,"POLICE OFFICER"
936095,"11/22/16",1835,"SERGEANT"
949957,"07/06/11",8316,"POLICE OFFICER"
971299,"04/28/21",19593,"POLICE OFFICER"
973196,"12/29/21",20267,"POLICE OFFICER"
940948,"12/22/17",6669,"DETECTIVE"
940948,"01/09/06",20743,"POLICE OFFICER"
940948,"10/30/19",1067,"SERGEANT"
952380,"07/11/12",6077,"POLICE OFFICER"
973197,"12/29/21",20541,"POLICE OFFICER"
944303,"05/03/19",NA,"LIEUTENANT"
944303,"07/09/07",15420,"POLICE OFFICER"
944303,"02/28/14",1047,"SERGEANT"
948585,"07/06/10",9438,"POLICE OFFICER"
948585,"03/18/21",130,"SERGEANT"
932123,"07/01/03",9400,"POLICE OFFICER"
970962,"02/24/21",22723,"POLICE OFFICER"
963834,"07/05/17",27313,"POLICE OFFICER"
965918,"07/02/18",4444,"POLICE OFFICER"
941549,"07/10/06",28355,"POLICE OFFICER"
934364,"07/01/04",10798,"POLICE OFFICER"
973198,"12/29/21",21285,"POLICE OFFICER"
952381,"07/11/12",30643,"POLICE OFFICER"
971779,"07/07/21",10430,"POLICE OFFICER"
937936,"07/11/05",29118,"POLICE OFFICER"
937936,"03/02/15",1289,"SERGEANT"
934975,"07/01/04",10243,"POLICE OFFICER"
934975,"10/29/10",274,"SERGEANT"
949958,"07/06/11",25347,"POLICE OFFICER"
949958,"10/07/19",3120,"SERGEANT"
948586,"07/28/17",3108,"DETECTIVE"
948586,"07/06/10",12854,"POLICE OFFICER"
948586,"09/10/14",12845,"POLICE OFFICER"
945454,"01/07/08",25988,"POLICE OFFICER"
951477,"01/09/12",8219,"POLICE OFFICER"
964861,"01/10/18",26278,"POLICE OFFICER"
942926,"01/10/07",16692,"POLICE OFFICER"
942926,"12/19/19",5033,"SERGEANT"
964859,"01/10/18",12539,"POLICE OFFICER"
967739,"07/01/19",14901,"POLICE OFFICER"
969449,"11/02/20",11980,"POLICE OFFICER"
959780,"10/07/15",21975,"POLICE OFFICER"
937937,"07/11/05",6642,"POLICE OFFICER"
937937,"03/18/21",135,"SERGEANT"
970964,"02/24/21",23495,"POLICE OFFICER"
954459,"07/09/13",6796,"POLICE OFFICER"
954459,"06/28/19",104,"SERGEANT"
962197,"10/11/16",19258,"POLICE OFFICER"
964860,"01/10/18",29105,"POLICE OFFICER"
960124,"01/06/16",3365,"POLICE OFFICER"
951479,"01/09/12",6549,"POLICE OFFICER"
971780,"07/07/21",11884,"POLICE OFFICER"
971781,"07/07/21",12567,"POLICE OFFICER"
956367,"07/09/14",9923,"POLICE OFFICER"
949959,"08/22/17",4092,"DETECTIVE"
949959,"07/06/11",16469,"POLICE OFFICER"
968913,"01/06/20",8134,"POLICE OFFICER"
959436,"10/07/15",24060,"POLICE OFFICER"
968209,"10/07/19",5491,"POLICE OFFICER"
948587,"07/06/10",4362,"POLICE OFFICER"
937938,"04/24/15",6499,"DETECTIVE"
937938,"07/11/05",26116,"POLICE OFFICER"
970367,"12/29/20",1793,"POLICE OFFICER"
966417,"10/24/18",9153,"POLICE OFFICER"
969450,"11/02/20",22357,"POLICE OFFICER"
969450,"02/01/21",22359,"POLICE OFFICER"
960125,"01/06/16",11336,"POLICE OFFICER"
957313,"01/07/15",15568,"POLICE OFFICER"
945455,"11/03/14",729,"DETECTIVE"
945455,"01/07/08",4262,"POLICE OFFICER"
945455,"11/24/20",1030,"SERGEANT"
968914,"01/06/20",22153,"POLICE OFFICER"
968915,"01/27/20",23341,"POLICE OFFICER"
907685,"10/28/94",7914,"POLICE OFFICER"
949961,"07/06/11",20671,"POLICE OFFICER"
949961,"03/27/18",765,"SERGEANT"
973199,"12/29/21",20149,"POLICE OFFICER"
931513,"03/31/17",6917,"DETECTIVE"
931513,"07/01/02",5667,"POLICE OFFICER"
946719,"08/31/18",3016,"DETECTIVE"
946719,"07/08/08",19747,"POLICE OFFICER"
896914,"09/25/97",641,"DETECTIVE"
896914,"09/08/09",164,"DETECTIVE"
896914,"10/15/90",24974,"POLICE OFFICER"
969451,"11/02/20",13307,"POLICE OFFICER"
962911,"01/04/17",20404,"POLICE OFFICER"
971782,"07/07/21",16497,"POLICE OFFICER"
924863,"03/01/00",11677,"POLICE OFFICER"
961593,"07/13/16",6440,"POLICE OFFICER"
963355,"04/12/17",12406,"POLICE OFFICER"
939841,"01/25/19",4120,"DETECTIVE"
939841,"01/09/06",11482,"POLICE OFFICER"
939841,"05/03/19",4308,"SERGEANT"
949964,"07/06/11",30047,"POLICE OFFICER"
934367,"09/05/14",3111,"DETECTIVE"
934367,"07/01/04",10855,"POLICE OFFICER"
952382,"07/11/12",126,"POLICE OFFICER"
952382,"10/07/19",3129,"SERGEANT"
969452,"11/02/20",14128,"POLICE OFFICER"
963835,"07/05/17",16660,"POLICE OFFICER"
972495,"10/12/21",7009,"POLICE OFFICER"
966923,"01/03/19",26922,"POLICE OFFICER"
970368,"12/29/20",2224,"POLICE OFFICER"
954460,"07/09/13",11948,"POLICE OFFICER"
955705,"01/08/14",3792,"POLICE OFFICER"
921104,"07/01/98",28999,"POLICE OFFICER"
921104,"04/21/10",18245,"POLICE OFFICER"
921104,"10/29/10",293,"SERGEANT"
952383,"07/11/12",1035,"POLICE OFFICER"
960128,"01/06/16",3810,"POLICE OFFICER"
943037,"01/10/07",16794,"POLICE OFFICER"
943037,"02/24/17",1218,"SERGEANT"
941312,"07/10/06",13475,"POLICE OFFICER"
941312,"06/30/17",952,"SERGEANT"
927886,"07/02/01",24020,"POLICE OFFICER"
956368,"07/09/14",1352,"POLICE OFFICER"
964357,"10/18/17",1263,"POLICE OFFICER"
954461,"06/10/21",2042,"DETECTIVE"
954461,"07/09/13",107,"POLICE OFFICER"
941313,"07/10/06",8917,"POLICE OFFICER"
948140,"01/14/09",7926,"POLICE OFFICER"
948140,"04/28/17",809,"SERGEANT"
948140,"10/18/21",NA,"SGT DET SQUAD"
964358,"10/18/17",12147,"POLICE OFFICER"
953616,"01/09/13",19293,"POLICE OFFICER"
953616,"03/24/17",19290,"POLICE OFFICER"
973200,"12/29/21",21909,"POLICE OFFICER"
966924,"01/03/19",30227,"POLICE OFFICER"
934368,"07/01/04",3348,"POLICE OFFICER"
960129,"12/21/21",4755,"DETECTIVE"
960129,"01/06/16",14450,"POLICE OFFICER"
929589,"07/01/02",12736,"POLICE OFFICER"
969453,"11/02/20",23041,"POLICE OFFICER"
923946,"02/26/03",7825,"DETECTIVE"
923946,"07/07/99",19508,"POLICE OFFICER"
933593,"10/25/13",NA,"LIEUTENANT"
933593,"01/20/04",15655,"POLICE OFFICER"
933593,"06/24/11",1076,"SERGEANT"
933593,"03/24/16",1077,"SERGEANT"
955706,"06/10/21",2056,"DETECTIVE"
955706,"01/08/14",15183,"POLICE OFFICER"
958214,"07/08/15",20396,"POLICE OFFICER"
